dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
pipageq1	pht001116.v10, pht001111.v4	Pipe: age quit smoking	pipageq1	exposure	number	
pipday1	pht001116.v10, pht001111.v4	Pipe: average # smoked per day	pipday1	exposure	number	
chew1	pht001116.v10, pht001111.v4	Chewed tobacco at least 20 times in lifetime	chew1	exposure	boolean	
chwage1	pht001116.v10, pht001111.v4	Chewing tobacco: age started use	chwage1	exposure	number	
chwcur1	pht001116.v10, pht001111.v4	Chewing tobacco: used in last 30 days	chwcur1	exposure	boolean	
chwageq1	pht001116.v10, pht001111.v4	Chewing tobacco: age quit use	chwageq1	exposure	number	
chwday1	pht001116.v10, pht001111.v4	Chewing tobacco: average # uses per day	chwday1	exposure	number	
snuff1	pht001116.v10, pht001111.v4	Used snuff at least 20 times in lifetime	snuff1	exposure	boolean	
snfage1	pht001116.v10, pht001111.v4	Snuff: age started use	snfage1	exposure	number	
snfcur1	pht001116.v10, pht001111.v4	Snuff: used in last 30 days	snfcur1	exposure	boolean	
snfageq1	pht001116.v10, pht001111.v4	Snuff: age quit use	snfageq1	exposure	number	
snfday1	pht001116.v10, pht001111.v4	Snuff: average # uses per day	snfday1	exposure	number	
shndsmk1	pht001116.v10, pht001111.v4	Exposure to second-hand smoke, hours per week	shndsmk1	exposure	number	
alcohol1	pht001116.v10, pht001111.v4	Ever consumed alcoholic beverages	alcohol1	exposure	boolean	
alcage1	pht001116.v10, pht001111.v4	Alcohol: age started drinking	alcage1	exposure	number	
curalc1	pht001116.v10, pht001111.v4	Alcohol: current use	curalc1	exposure	boolean	
yrsalcp1	pht001116.v10, pht001111.v4	# years drinking alcohol (former drinkers)	yrsalcp1	exposure	number	
wine1	pht001116.v10, pht001111.v4	Drank wine (former drinkers)	wine1	exposure	boolean	
beer1	pht001116.v10, pht001111.v4	Drank beer (former drinkers)	beer1	exposure	boolean	
hardliq1	pht001116.v10, pht001111.v4	Hard liquor (former drinkers)	hardliq1	exposure	boolean	
othalc1	pht001116.v10, pht001111.v4	Other alcohol (former drinkers)	othalc1	exposure	boolean	
alcwkp1	pht001116.v10, pht001111.v4	# drinks per week when drinking (former drinkers)	alcwkp1	exposure	number	
yrsalcc1	pht001116.v10, pht001111.v4	# years drinking alcohol (current drinkers)	yrsalcc1	exposure	number	
yrsalc1c	pht001116.v10, pht001111.v4	# years drinking alcohol (current and former drinkers)	yrsalc1c	exposure	number	
alcwkc1	pht001116.v10, pht001111.v4	# drinks per week (current drinkers)	alcwkc1	exposure	number	
alcwk1c	pht001116.v10, pht001111.v4	# drinks per week (current and former drinkers)	alcwk1c	exposure	number	
alc24hr1	pht001116.v10, pht001111.v4	Drinks in past 24 hours (current drinkers)	alc24hr1	exposure	number	
phxloch1	pht001116.v10, pht001111.v4	Form completed at home	phxloch1	exposure	boolean	
phxlocc1	pht001116.v10, pht001111.v4	Form completed at clinic	phxlocc1	exposure	boolean	
phxadm1	pht001116.v10, pht001111.v4	Questionnaire administrator - personal history	phxadm1	exposure	enum	SELF-ADMIN|INTERVIEWER-ADMIN
highalc1	pht001116.v10, pht001111.v4	Largest # of drinks in one day, in past month (current drinkers)	highalc1	exposure	number	
cgr1c	pht001116.v10, pht001111.v4	Cigar smoking status	cgr1c	exposure	enum	NEVER|FORMER|CURRENT
cgryrs1c	pht001116.v10, pht001111.v4	Cigar smoking amount (cigars per day * years)	cgryrs1c	exposure	number	
pip1c	pht001116.v10, pht001111.v4	Pipe smoking status	pip1c	exposure	enum	NEVER|FORMER|CURRENT
pipyrs1c	pht001116.v10, pht001111.v4	Pipe smoking amount (pipefuls per day * years)	pipyrs1c	exposure	number	
chew1c	pht001116.v10, pht001111.v4	Chewing tobacco use	chew1c	exposure	enum	NEVER|FORMER|CURRENT
chwyrs1c	pht001116.v10, pht001111.v4	Chewing tobacco amount (# times chewed per day * years)	chwyrs1c	exposure	number	
snf1c	pht001116.v10, pht001111.v4	Snuff use	snf1c	exposure	enum	NEVER|FORMER|CURRENT
snfyrs1c	pht001116.v10, pht001111.v4	Snuff use amount (# times use per day * years)	snfyrs1c	exposure	number	
alc1c	pht001116.v10, pht001111.v4	Alcohol use	alc1c	exposure	enum	NEVER|FORMER|CURRENT
pactadm1	pht001116.v10, pht001111.v4	Pa questionnaire: mode of administration	pactadm1	exposure	enum	MISSING|SELF-ADMINISTERED|INTERVIEWER-ADMINISTERED
q01hlcn1	pht001116.v10, pht001111.v4	1: light household chores min/wk m-su	q01hlcn1	physical_activity_questionnaire	number	
q01hlcm1	pht001116.v10, pht001111.v4	1: light household chores met-min/wk m-su	q01hlcm1	physical_activity_questionnaire	number	
q02hmcn1	pht001116.v10, pht001111.v4	2: moderate household chores min/wk m-su	q02hmcn1	physical_activity_questionnaire	number	
q02hmcm1	pht001116.v10, pht001111.v4	2: moderate household chores met-min/wk m-su	q02hmcm1	physical_activity_questionnaire	number	
hsemn1c	pht001116.v10, pht001111.v4	Total household chores min/wk m-su	hsemn1c	physical_activity_questionnaire	number	
hsemt1c	pht001116.v10, pht001111.v4	Total household chores met-min/wk m-su	hsemt1c	physical_activity_questionnaire	number	
q03ymcn1	pht001116.v10, pht001111.v4	3: moderate yard work min/wk m-su	q03ymcn1	physical_activity_questionnaire	number	
q03ymcm1	pht001116.v10, pht001111.v4	3: moderate yard work met-min/wk m-su	q03ymcm1	physical_activity_questionnaire	number	
q04yvcn1	pht001116.v10, pht001111.v4	4: vigorous yard work min/wk m-su	q04yvcn1	physical_activity_questionnaire	number	
q04yvcm1	pht001116.v10, pht001111.v4	4: vigorous yard work met-min/wk m-su	q04yvcm1	physical_activity_questionnaire	number	
yrdmn1c	pht001116.v10, pht001111.v4	Total yard work min/wk m-su	yrdmn1c	physical_activity_questionnaire	number	
yrdmt1c	pht001116.v10, pht001111.v4	Total yard work met-min/wk m-su	yrdmt1c	physical_activity_questionnaire	number	
q05olcn1	pht001116.v10, pht001111.v4	5: light care others min/wk m-su	q05olcn1	physical_activity_questionnaire	number	
q05olcm1	pht001116.v10, pht001111.v4	5: light care others met-min/wk m-su	q05olcm1	physical_activity_questionnaire	number	
q06omcn1	pht001116.v10, pht001111.v4	6: moderate care others min/wk m-su	q06omcn1	physical_activity_questionnaire	number	
q06omcm1	pht001116.v10, pht001111.v4	6: moderate care others met-min/wk m-su	q06omcm1	physical_activity_questionnaire	number	
caremn1c	pht001116.v10, pht001111.v4	Total care others min/wk m-su	caremn1c	physical_activity_questionnaire	number	
caremt1c	pht001116.v10, pht001111.v4	Total care others met-min/wk m-su	caremt1c	physical_activity_questionnaire	number	
q07tlcn1	pht001116.v10, pht001111.v4	7: light transportation min/wk m-su	q07tlcn1	physical_activity_questionnaire	number	
q07tlcm1	pht001116.v10, pht001111.v4	7: light transportation met-min/wk m-su	q07tlcm1	physical_activity_questionnaire	number	
trnmn1c	pht001116.v10, pht001111.v4	Total transportation min/wk m-su	trnmn1c	physical_activity_questionnaire	number	
trnmt1c	pht001116.v10, pht001111.v4	Total transportation met-min/wk m-su	trnmt1c	physical_activity_questionnaire	number	
q08wmcn1	pht001116.v10, pht001111.v4	8: moderate walking min/wk m-su	q08wmcn1	physical_activity_questionnaire	number	
q08wmcm1	pht001116.v10, pht001111.v4	8: moderate walking met-min/wk m-su	q08wmcm1	physical_activity_questionnaire	number	
q09wmcn1	pht001116.v10, pht001111.v4	9: moderate walking exercise min/wk m-su	q09wmcn1	physical_activity_questionnaire	number	
q09wmcm1	pht001116.v10, pht001111.v4	9: moderate walking exercise met-min/wk m-su	q09wmcm1	physical_activity_questionnaire	number	
walkmn1c	pht001116.v10, pht001111.v4	Total walking min//wk m-su	walkmn1c	physical_activity_questionnaire	number	
walkmt1c	pht001116.v10, pht001111.v4	Total walking met-min/wk m-su	walkmt1c	physical_activity_questionnaire	number	
q10smcn1	pht001116.v10, pht001111.v4	10: moderate dance min/wk m-su	q10smcn1	physical_activity_questionnaire	number	
q10smcm1	pht001116.v10, pht001111.v4	10: moderate dance met-min/wk m-su	q10smcm1	physical_activity_questionnaire	number	
q11svcn1	pht001116.v10, pht001111.v4	11: vigorous team sports min/wk m-su	q11svcn1	physical_activity_questionnaire	number	
q11svcm1	pht001116.v10, pht001111.v4	11: vigorous team sports met-min/wk m-su	q11svcm1	physical_activity_questionnaire	number	
q12svcn1	pht001116.v10, pht001111.v4	12: vigorous dual sports min/wk m-su	q12svcn1	physical_activity_questionnaire	number	
q12svcm1	pht001116.v10, pht001111.v4	12: vigorous dual sports met-min/wk m-su	q12svcm1	physical_activity_questionnaire	number	
q13smcn1	pht001116.v10, pht001111.v4	13: moderate individual activities min/wk m-su	q13smcn1	physical_activity_questionnaire	number	
q13smcm1	pht001116.v10, pht001111.v4	13: moderate individual activities met-min/wk m-su	q13smcm1	physical_activity_questionnaire	number	
sptnmn1c	pht001116.v10, pht001111.v4	Total dance/sport min/wk m-su	sptnmn1c	physical_activity_questionnaire	number	
sptnmt1c	pht001116.v10, pht001111.v4	Total dance/sport met-min/wk m-su	sptnmt1c	physical_activity_questionnaire	number	
q14cmcn1	pht001116.v10, pht001111.v4	14: moderate conditioning min/wk m-su	q14cmcn1	physical_activity_questionnaire	number	
q14cmcm1	pht001116.v10, pht001111.v4	14: moderate conditioning met-min/wk m-su	q14cmcm1	physical_activity_questionnaire	number	
q15cvcn1	pht001116.v10, pht001111.v4	15: vigorous conditioning min/wk m-su	q15cvcn1	physical_activity_questionnaire	number	
q15cvcm1	pht001116.v10, pht001111.v4	15: vigorous conditioning met-min/wk m-su	q15cvcm1	physical_activity_questionnaire	number	
condmn1c	pht001116.v10, pht001111.v4	Total conditioning min/wk m-su	condmn1c	physical_activity_questionnaire	number	
condmt1c	pht001116.v10, pht001111.v4	Total conditioning met-min/wk m-su	condmt1c	physical_activity_questionnaire	number	
q16ilcn1	pht001116.v10, pht001111.v4	16: light leisure tv min/wk m-su	q16ilcn1	physical_activity_questionnaire	number	
q16ilcm1	pht001116.v10, pht001111.v4	16: light leisure tv met-min/wk m-su	q16ilcm1	physical_activity_questionnaire	number	
q17ilcn1	pht001116.v10, pht001111.v4	17: light leisure read min/wk m-su	q17ilcn1	physical_activity_questionnaire	number	
q17ilcm1	pht001116.v10, pht001111.v4	17: light leisure read met-min/wk m-su	q17ilcm1	physical_activity_questionnaire	number	
leismn1c	pht001116.v10, pht001111.v4	Total leisure min/wk m-su	leismn1c	physical_activity_questionnaire	number	
leismt1c	pht001116.v10, pht001111.v4	Total leisure met-min/wk m-su	leismt1c	physical_activity_questionnaire	number	
q18jyn1	pht001116.v10, pht001111.v4	Work to earn money?	q18jyn1	physical_activity_questionnaire	number	
q19wcn1	pht001116.v10, pht001111.v4	19: total work (q19) min/wk m-su	q19wcn1	physical_activity_questionnaire	number	
q20jlcn1	pht001116.v10, pht001111.v4	20: light work sitting min/wk m-su	q20jlcn1	physical_activity_questionnaire	number	
q20jlcm1	pht001116.v10, pht001111.v4	20: light work sitting met-min/wk m-su	q20jlcm1	physical_activity_questionnaire	number	
q21jlcn1	pht001116.v10, pht001111.v4	21: light work standing min/wk m-su	q21jlcn1	physical_activity_questionnaire	number	
q21jlcm1	pht001116.v10, pht001111.v4	21: light work standing met-min/wk m-su	q21jlcm1	physical_activity_questionnaire	number	
q22jmcn1	pht001116.v10, pht001111.v4	22: moderate work min/wk m-su	q22jmcn1	physical_activity_questionnaire	number	
q22jmcm1	pht001116.v10, pht001111.v4	22: moderate work met-min/wk m-su	q22jmcm1	physical_activity_questionnaire	number	
q23jvcn1	pht001116.v10, pht001111.v4	23: vigorous work min/wk m-su	q23jvcn1	physical_activity_questionnaire	number	
q23jvcm1	pht001116.v10, pht001111.v4	23: vigorous work met-min/wk m-su	q23jvcm1	physical_activity_questionnaire	number	
occmn1c	pht001116.v10, pht001111.v4	Total work min m-su/wk	occmn1c	physical_activity_questionnaire	number	
occmt1c	pht001116.v10, pht001111.v4	Total work met-min/wk m-su	occmt1c	physical_activity_questionnaire	number	
q24uyn1	pht001116.v10, pht001111.v4	24: work as a volunteer?	q24uyn1	physical_activity_questionnaire	number	
q25ulcn1	pht001116.v10, pht001111.v4	25: light volunteer min/wk m-su	q25ulcn1	physical_activity_questionnaire	number	
q25ulcm1	pht001116.v10, pht001111.v4	25: light volunteer met-min/wk m-su	q25ulcm1	physical_activity_questionnaire	number	
q26umcn1	pht001116.v10, pht001111.v4	26: moderate volunteer min/wk m-su	q26umcn1	physical_activity_questionnaire	number	
q26umcm1	pht001116.v10, pht001111.v4	26: moderate volunteer met-min/wk m-su	q26umcm1	physical_activity_questionnaire	number	
q27uvcn1	pht001116.v10, pht001111.v4	27: vigorous volunteer min/wk m-su	q27uvcn1	physical_activity_questionnaire	number	
q27uvcm1	pht001116.v10, pht001111.v4	27: vigorous volunteer met-min/wk m-su	q27uvcm1	physical_activity_questionnaire	number	
volmn1c	pht001116.v10, pht001111.v4	Total volunteer min/wk m-su	volmn1c	physical_activity_questionnaire	number	
volmt1c	pht001116.v10, pht001111.v4	Total volunteer met-min/wk m-su	volmt1c	physical_activity_questionnaire	number	
wlkpace1	pht001116.v10, pht001111.v4	Walking pace outside home	wlkpace1	physical_activity_questionnaire	enum	NO WALKING AT ALL|CASUAL STROLLING (<2 MPH)|AVERAGE OR NORMAL (2-3 MPH)|FAIRLY BRISKLY (4-5 MPH)|BRISK OR STRIDING (>5 MPH)
pahrdy1c	pht001116.v10, pht001111.v4	Reported total pa hours per day	pahrdy1c	physical_activity_questionnaire	number	
wkhrwk1c	pht001116.v10, pht001111.v4	Reported total work hours per week	wkhrwk1c	physical_activity_questionnaire	number	
exercm1c	pht001116.v10, pht001111.v4	Total intentional exercise (q9-15) met-min/wk	exercm1c	physical_activity_questionnaire	number	
pamcm1c	pht001116.v10, pht001111.v4	Moderate physical activity total (met-min/wk m-su)	pamcm1c	physical_activity_questionnaire	number	
pavcm1c	pht001116.v10, pht001111.v4	Vigorous physical activity total (met-min/wk m-su)	pavcm1c	physical_activity_questionnaire	number	
pamvcm1c	pht001116.v10, pht001111.v4	Moderate and vigorous physical activity total (met-min/wk m-su)	pamvcm1c	physical_activity_questionnaire	number	
sbpcp1	pht001116.v10, pht001111.v4	Systolic blood pressure (from oscillometric cuff), (mmhg)	sbpcp1	blood_pressure_test	number	
dbpcp1	pht001116.v10, pht001111.v4	Diastolic blood pressure (from oscillometric cuff), (mmhg)	dbpcp1	blood_pressure_test	number	
mnapcp1	pht001116.v10, pht001111.v4	Mean arterial pressure (from oscillometric cuff), (mmhg)	mnapcp1	blood_pressure_test	number	
pprescp1	pht001116.v10, pht001111.v4	Pulse pressure (from oscillometric cuff), (mmhg)	pprescp1	blood_pressure_test	number	
pulsecp1	pht001116.v10, pht001111.v4	Pulse rate (from oscillometric cuff), (beats/minute)	pulsecp1	blood_pressure_test	number	
sbpwp1	pht001116.v10, pht001111.v4	Systolic blood pressure (from waveform analysis), (mmhg)	sbpwp1	blood_pressure_test	number	
dbpwp1	pht001116.v10, pht001111.v4	Diastolic blood pressure (from waveform analysis), (mmhg)	dbpwp1	blood_pressure_test	number	
mnapwp1	pht001116.v10, pht001111.v4	Mean arterial pressure (from waveform analysis), (mmhg)	mnapwp1	blood_pressure_test	number	
pulsewp1	pht001116.v10, pht001111.v4	Pulse rate (from waveform analysis), (beats/minute)	pulsewp1	blood_pressure_test	number	
lae1c	pht001116.v10, pht001111.v4	Large artery elasticity index (ml/mmhg x10)	lae1c	blood_pressure_test	number	
sae1c	pht001116.v10, pht001111.v4	Small artery elasticity index (ml/mmhg x100)	sae1c	blood_pressure_test	number	
svr1c	pht001116.v10, pht001111.v4	Systemic vascular resistance (dyne sec / cm5)	svr1c	blood_pressure_test	number	
totvip1	pht001116.v10, pht001111.v4	Total vascular impedance (dyne sec / cm5) (machine computed)	totvip1	blood_pressure_test	number	
eco1c	pht001116.v10, pht001111.v4	Estimated cardiac output (l/minute)	eco1c	blood_pressure_test	number	
cardx1c	pht001116.v10, pht001111.v4	Estimated cardiac output index	cardx1c	blood_pressure_test	number	
cejectp1	pht001116.v10, pht001111.v4	Estimated cardiac ejection time, (millisecond)	cejectp1	blood_pressure_test	number	
stkvol1c	pht001116.v10, pht001111.v4	Estimated stroke volume (ml/beat)	stkvol1c	blood_pressure_test	number	
stkvx1c	pht001116.v10, pht001111.v4	Estimated stroke volume index	stkvx1c	blood_pressure_test	number	
dmapnum1	pht001116.v10, pht001111.v4	Dinamap number	dmapnum1	blood_pressure_test	number	
armcm1	pht001116.v10, pht001111.v4	Arm circumference (cm)	armcm1	blood_pressure_test	number	
cuffsz1	pht001116.v10, pht001111.v4	Seated bp cuff size	cuffsz1	blood_pressure_test	enum	SMALL ADULT (17-25cm)|ADULT (25.1-33cm)|LARGE ADULT (33.1-40cm)|THIGH (40.1-50cm)|FOREARM, ADULT (25.1-33cm)|FOREARM, LARGE ADULT (33.1-40cm)
s1bp1	pht001116.v10, pht001111.v4	Seated bp: systolic 1st reading (mmhg)	s1bp1	blood_pressure_test	number	
d1bp1	pht001116.v10, pht001111.v4	Seated bp: diastolic 1st reading (mmhg)	d1bp1	blood_pressure_test	number	
bptm1	pht001116.v10, pht001111.v4	Time of day, seated bp	bptm1	blood_pressure_test	string	
s2bp1	pht001116.v10, pht001111.v4	Seated bp: systolic 2nd reading (mmhg)	s2bp1	blood_pressure_test	number	
d2bp1	pht001116.v10, pht001111.v4	Seated bp: diastolic 2nd reading (mmhg)	d2bp1	blood_pressure_test	number	
s3bp1	pht001116.v10, pht001111.v4	Seated bp: systolic 3rd reading (mmhg)	s3bp1	blood_pressure_test	number	
d3bp1	pht001116.v10, pht001111.v4	Seated bp: diastolic 3rd reading (mmhg)	d3bp1	blood_pressure_test	number	
rmtempf1	pht001116.v10, pht001111.v4	Room temperature (fahrenheit), seated bp	rmtempf1	blood_pressure_test	number	
sbp1c	pht001116.v10, pht001111.v4	Seated systolic blood pressure (mmhg)	sbp1c	blood_pressure_test	number	
dbp1c	pht001116.v10, pht001111.v4	Seated diastolic blood pressure (mmhg)	dbp1c	blood_pressure_test	number	
spp1c	pht001116.v10, pht001111.v4	Seated pulse pressure (mmhg)	spp1c	blood_pressure_test	number	
dcoeff1	pht001116.v10, pht001111.v4	Distensibility coefficient	dcoeff1	blood_pressure_test	number	
youngm1	pht001116.v10, pht001111.v4	Youngs modulus	youngm1	blood_pressure_test	number	
ualbumn1	pht001116.v10, pht001111.v4	Urinary albumin (mg/dl)	ualbumn1	lab_result	number	
ualbcre1	pht001116.v10, pht001111.v4	Urinary albumin/creatinine (mg/g)	ualbcre1	lab_result	number	
ualbcre1t	pht001116.v10, pht001111.v4	Natural log transformed ratio of urinary albumin (mg) to creatinine (g)	ualbcre1t	lab_result	number	
ucreat1	pht001116.v10, pht001111.v4	Urinary creatinine (mg/dl)	ucreat1	lab_result	number	
uabcat1c	pht001116.v10, pht001111.v4	Urine: microalbuminuria	uabcat1c	lab_result	enum	NORMAL|MICROALBUMINURIA|MACROALBUMINURIA
dmtype1c	pht001116.v10, pht001111.v4	Diabetes type	dmtype1c	diagnosis	enum	TYPE 1 DIABETES|TYPE 2 DIABETES|NOT APPLICABLE
mtsy031c	pht001116.v10, pht001111.v4	Metabolic syndrome by updated ncep guidelines (circulation 2004;109;433-438)	mtsy031c	diagnosis	boolean	
inslnr1t	pht001116.v10, pht001111.v4	Serum insulin recoded to e5 elecsys scale (mu/l)	inslnr1t	lab_result	number	
vldlp31c	pht001116.v10, pht001111.v4	Vldl particles (total) (nmol/l) from nmr lipoprofile-3 spectral analysis	vldlp31c	lab_result	number	
vl31	pht001116.v10, pht001111.v4	Large vldl >60 nm (nmol/l) from nmr lipoprofile-3 spectral analysis	vl31	lab_result	number	
vm31	pht001116.v10, pht001111.v4	Medium vldl 35-60 nm (nmol/l) from nmr lipoprofile-3 spectral analysis	vm31	lab_result	number	
vs31	pht001116.v10, pht001111.v4	Small vldl 29-35 nm (nmol/l) from nmr lipoprofile-3 spectral analysis	vs31	lab_result	number	
ldlp31c	pht001116.v10, pht001111.v4	Ldl particles (total) (nmol/l) from nmr lipoprofile-3 spectral analysis	ldlp31c	lab_result	number	
idl31	pht001116.v10, pht001111.v4	Idl 23-29 nm (nmol/l) from nmr lipoprofile-3 spectral analysis	idl31	lab_result	number	
ll31	pht001116.v10, pht001111.v4	Large ldl 20.5-23 nm (nmol/l) from nmr lipoprofile-3 spectral analysis	ll31	lab_result	number	
ls31	pht001116.v10, pht001111.v4	Small ldl 18-20.5 nm (nmol/l) from nmr lipoprofile-3 spectral analysis	ls31	lab_result	number	
hdlp31c	pht001116.v10, pht001111.v4	Hdl particles (total) (umol/l) from nmr lipoprofile-3 spectral analysis	hdlp31c	lab_result	number	
hl31	pht001116.v10, pht001111.v4	Large hdl 9.4-14 nm (umol/l) from nmr lipoprofile-3 spectral analysis	hl31	lab_result	number	
hm31	pht001116.v10, pht001111.v4	Medium hdl 8.2-9.4 nm (umol/l) from nmr lipoprofile-3 spectral analysis	hm31	lab_result	number	
hs31	pht001116.v10, pht001111.v4	Small hdl 7.3-8.2 nm (umol/l) from nmr lipoprofile-3 spectral analysis	hs31	lab_result	number	
vz31	pht001116.v10, pht001111.v4	Mean vldl size (nm) from nmr lipoprofile-3 spectral analysis	vz31	lab_result	number	
lz31	pht001116.v10, pht001111.v4	Mean ldl size (nm) from nmr lipoprofile-3 spectral analysis	lz31	lab_result	number	
hz31	pht001116.v10, pht001111.v4	Mean hdl size (nm) from nmr lipoprofile-3 spectral analysis	hz31	lab_result	number	
ntrg31c	pht001116.v10, pht001111.v4	Calculated total triglycerides (mg/dl) from nmr lipoprofile-3 spectral analysis	ntrg31c	lab_result	number	
nvtrg31c	pht001116.v10, pht001111.v4	Calculated vldl triglycerides (mg/dl) from nmr lipoprofile-3 spectral analysis	nvtrg31c	lab_result	number	
nhdlc31c	pht001116.v10, pht001111.v4	Calculated hdl cholesterol (mg/dl) from nmr lipoprofile-3 spectral analysis	nhdlc31c	lab_result	number	
lp3lpir1	pht001116.v10, pht001111.v4	Lipoprotein insulin resistance score from nmr lipoprofile-3 spectral analysis	lp3lpir1	lab_result	number	
lpcomm31	pht001116.v10, pht001111.v4	Comments from nmr lipoprofile-3 spectral analysis	lpcomm31	lab_result	string	
il2sr1	pht001116.v10, pht001111.v4	Interleukin-2 (pg/ml)	il2sr1	lab_result	number	
il2sr1t	pht001116.v10, pht001111.v4	Natural log transformed interleukin-2	il2sr1t	lab_result	number	
tnfri1	pht001116.v10, pht001111.v4	Tumor necrosis factor-a soluble receptors (pg/ml)	tnfri1	lab_result	number	
age1c	pht001116.v10, pht001111.v4	Age	age1c	demographic	number	
agecat1c	pht001116.v10, pht001111.v4	Age categories	agecat1c	demographic	enum	45 - 54|55 - 64|65 - 74|75 - 84
frncep1c	pht001116.v10, pht001111.v4	10 yr hard chd risk--ncep version	frncep1c	medical_history	number	
frjama1c	pht001116.v10, pht001111.v4	10yr hard chd risk per jama 2001 paper	frjama1c	medical_history	number	
frcirc1c	pht001116.v10, pht001111.v4	10yr hard chd risk per circ 1998 paper	frcirc1c	medical_history	number	
frci081c	pht001116.v10, pht001111.v4	Framingham global cvd risk per circ 2008 paper	frci081c	medical_history	number	
egfr1c	pht001116.v10, pht001111.v4	Estimated glomerular filtration rate by simplified mdrd equation	egfr1c	medical_history	number	
cepgfr1c	pht001116.v10, pht001111.v4	Exam 1 (calibrated cr) egfr using ckd-epi equation	cepgfr1c	medical_history	number	
hrtrate1	pht001116.v10, pht001111.v4	Heart rate (beats/min)	hrtrate1	electrocardiogram_test	number	
supprss1	pht001116.v10, pht001111.v4	Flag for supressed codes	supprss1	electrocardiogram_test	enum	NON-SUPPRESSED|SUPPRESSED
qsupprs1	pht001116.v10, pht001111.v4	Suppressed q mc1, other than quality issues	qsupprs1	electrocardiogram_test	enum	SUPPRESSED Q MC1, OTHER THAN QUALITY ISSUES
ssupprs1	pht001116.v10, pht001111.v4	Suppressed st mc4, other than quality issues	ssupprs1	electrocardiogram_test	enum	SUPPRESSED ST MC4, OTHER THAN QUALITY ISSUES
tsupprs1	pht001116.v10, pht001111.v4	Suppressed t mc5, other than quality issues	tsupprs1	electrocardiogram_test	enum	SUPPRESSED T MC5, OTHER THAN QUALITY ISSUES
minor11	pht001116.v10, pht001111.v4	Minor abnormality 1 per minnesota code: minor-isolated q, qs waves	minor11	electrocardiogram_test	enum	MINOR ISOLATED Q,QS WAVES
minor21	pht001116.v10, pht001111.v4	Minor abnormality 2 per minnesota code: minor-isolated st, t waves	minor21	electrocardiogram_test	enum	MINOR ISOLATED ST,T ABNORMALITIES
minor31	pht001116.v10, pht001111.v4	Minor abnormality 3 per minnesota code: high r waves	minor31	electrocardiogram_test	enum	HIGH R WAVES
minor4l1	pht001116.v10, pht001111.v4	Minor abnormality 4l per minnesota code: st segment elevation, anterolateral site	minor4l1	electrocardiogram_test	enum	ST SEGMENT ELEVATION, ANTEROLATERAL SITE
minor4f1	pht001116.v10, pht001111.v4	Minor abnormality 4f per minnesota code: st segment elevation, posterior site	minor4f1	electrocardiogram_test	enum	ST SEGMENT ELEVATION, POSTERIOR SITE
minor4v1	pht001116.v10, pht001111.v4	Minor abnormality 4v per minnesota code: st segment elevation, anterior site	minor4v1	electrocardiogram_test	enum	ST SEGMENT ELEVATION, ANTERIOR SITE
minor5l1	pht001116.v10, pht001111.v4	Minor abnormality 5l per minnesota code: incomplete lbbb	minor5l1	electrocardiogram_test	enum	INCOMPLETE RBBB
minor5r1	pht001116.v10, pht001111.v4	Minor abnormality 5r per minnesota code: incomplete rbbb	minor5r1	electrocardiogram_test	enum	INCOMPLETE LBB
minor61	pht001116.v10, pht001111.v4	Minor abnormality 6 per minnesota code: minor qt prolongation, jti >=112% or minor qt prolongation, qti >=112%	minor61	electrocardiogram_test	enum	MINOR QT PROLONGATION, JTI >|MINOR QT PROLONGATION, QTI >
minor71	pht001116.v10, pht001111.v4	Minor abnormality 7 per minnesota code: short pr	minor71	electrocardiogram_test	enum	SHORT PR
minor81	pht001116.v10, pht001111.v4	Minor abnormality 8 per minnesota code: left axis deviation	minor81	electrocardiogram_test	enum	LEFT AXIS DEVIATION
minor91	pht001116.v10, pht001111.v4	Minor abnormality 9 per minnesota code: right axis deviation	minor91	electrocardiogram_test	enum	RIGHT AXIS DEVIATION
minor101	pht001116.v10, pht001111.v4	Minor abnormality 10 per minnesota code: frequent ventricular premature beats	minor101	electrocardiogram_test	enum	FREQUENT VENTRICULAR PREMATURE BEATS
minor11a1	pht001116.v10, pht001111.v4	Minor abnormality 11a per minnesota code: p-r interval > .22 sec	minor11a1	electrocardiogram_test	enum	P-R INTERVAL > .22 SEC
minor11b1	pht001116.v10, pht001111.v4	Minor abnormality 11b per minnesota code: frequent atrial or junctional premature beats or wandering atrial pacemaker or frequent atrial or ventricular premature beats and wandering atrial pacemaker	minor11b1	electrocardiogram_test	enum	FREQUENT ATRIAL OR JUNCTIONAL PREMATURE BEATS|WANDERING ATRIAL PACEMAKER|FREQUENT ATRIAL OR VENTRICULAR PREMATURE BEATS AND WANDERING ATRIAL PACEMAKER
minor11c1	pht001116.v10, pht001111.v4	Minor abnormality 11c per minnesota code: supraventricular rhythm	minor11c1	electrocardiogram_test	enum	SUPRAVENTRICULAR RHYTHM
minor11d1	pht001116.v10, pht001111.v4	Minor abnormality 11d per minnesota code: sinus tachycardia	minor11d1	electrocardiogram_test	enum	SINUS TACHYCARDIA
minor11e1	pht001116.v10, pht001111.v4	Minor abnormality 11e per minnesota code: sinus bradycardia	minor11e1	electrocardiogram_test	enum	SINUS BRADYCARDIA
